Player_Id,bet_amt,cpd,ggr
"413,891,920",205316,20,13518
"517,234,222",234,3,68
"578,564,616",33557,24,1969
"566,719,347",17,15,13
"534,776,069",35055,17,2559
"557,146,480",1092,2,542
"552,221,394",3101,5,-310
"402,628,650",9555,15,782
"422,537,585",197,8,103
"559,642,025",15320,21,953
"204,366,293",1,2,1
"563,189,245",18912,8,2113
"534,663,576",1626,1,659
"534,234,026",25560,26,45
"560,519,528",163,5,19
"515,400,709",54443,22,6168
"550,782,189",298,11,71
"510,037,358",2,2,2
"530,018,862",8296,17,702
"529,729,585",19108,11,1098
"566,585,788",10,1,7
"574,446,607",6113,1,1610
"578,178,852",3,1,3
"4,852,975",61648,7,5971
"576,776,613",14822,10,2946
"194,459,633",22526,3,-2277
"554,653,700",7491,16,367
"566,397,223",1295,2,499
"556,590,524",85,1,69
"559,904,077",696,2,136
"550,496,495",8090,18,-1475
"414,110,038",31335,17,-48
"549,376,091",12234,18,3242
"576,494,146",89796,10,13685
"554,670,835",20218,14,1648
"517,724,133",98230,25,9583
"561,679,145",25729,24,2896
"576,682,050",28,1,28
"482,121,155",293,14,96
"566,601,833",46718,11,-554
"560,113,558",12102,21,1939
"574,883,482",7483,13,2258
"550,218,362",296,3,129
"515,956,822",384,4,128
"554,934,439",5725,7,1358
"210,354,015",223,4,-28
"577,629,649",90,1,25
"191,704,020",32900,14,-680
"566,769,680",5451,24,1256
"559,941,692",527,1,34
"553,858,204",81924,28,5087
"519,894,388",2821,19,258
"504,389,852",14464,12,3666
"577,299,012",55066,18,6296
"549,196,012",7493,24,779
"515,854,094",65233,28,-828
"536,539,092",22571,22,2471
"186,096,905",44228,22,637
"576,536,032",6134,1,1866
"513,742,940",10082,17,851
"550,684,616",343,3,108
"576,874,169",282,2,40
"184,221,059",33726,16,4351
"512,958,299",1167,4,-227
"558,889,994",782,3,175
"184,557,347",33330,15,746
"551,315,245",91,2,69
"577,694,960",262,6,107
"567,185,550",1,1,1
"518,693,822",16008,6,1002
"411,925,433",39762,25,1429
"534,520,529",33,2,-8
"528,877,935",1491,2,407
"510,448,683",5466,14,16
"552,114,706",2879,2,441
"554,609,539",49652,24,2502
"576,831,510",31418,23,5067
"549,720,810",575,10,26
"187,573,232",78918,5,11437
"566,892,639",12449,4,1109
"577,802,651",650,10,-182
"550,408,592",14230,13,1755
"533,887,904",31587,21,2222
"217,057,680",39486,26,-1425
"566,563,385",2044,5,270
"517,912,745",90891,24,6884
"555,102,801",86573,15,-1072
"558,366,180",8504,14,608
"566,056,878",9863,14,1675
"576,874,961",238,6,67
"579,080,424",447,1,271
"519,146,028",14551,18,2124
"477,694,160",9541,15,3054
"560,753,548",20248,18,-740
"555,401,500",45194,18,2326
"560,975,737",93331,19,6076
"560,299,866",8912,12,90
"549,872,715",30046,22,370
"518,080,570",19110,20,232
"186,614,074",24422,21,2025
"552,348,157",54,1,21
"554,641,845",35818,15,-439
"577,309,473",69005,22,3910
"414,749,049",46937,20,6740
"577,488,619",391450,28,-29537
"521,760,972",559811,30,24297
"560,622,613",1784,2,-501
"575,840,178",1381,21,118
"551,154,112",1589,3,1057
"503,445,392",69021,28,3942
"549,419,693",25631,18,1609
"208,622,518",13460,15,996
"518,962,683",48731,22,-37076
"536,604,442",56412,2,-12661
"556,244,136",1093,6,122
"567,029,882",47,1,27
"518,878,750",284,18,124
"534,828,555",447,6,181
"551,924,859",1735,1,219
"556,819,871",26819,23,181
"554,133,330",451,17,193
"482,951,246",14193,10,1227
"557,147,039",203,1,136
"519,440,506",13091,29,839
"414,158,702",6887,12,859
"577,762,851",5395,3,1221
"551,464,960",66999,3,9487
"518,003,381",3632,5,770
"519,428,527",100,3,-610
"32,051",11970,8,-1016
"566,006,345",2860,4,-237
"575,913,748",14343,4,829
"554,693,618",13616,9,1366
"575,059,445",12500,8,1492
"559,466,720",239,1,76
"521,624,079",34185,16,3518
"576,277,956",15021,23,2239
"516,094,642",0,2,0
"13,496,590",12784,21,1086
"574,521,793",12570,20,723
"521,234,875",8,9,5
"560,814,358",4536,16,1732
"549,408,276",43574,2,2136
"556,752,587",152897,13,7792
"559,552,231",14951,15,2554
"558,822,729",2796,12,288
"392,128,625",2984,5,1037
"566,863,461",3351,3,141
"12,780,816",85774,5,5074
"558,458,232",9093,14,429
"551,746,368",1,1,1
"123,468,667",22234,19,3052
"576,967,395",12613,5,1540
"576,536,181",9814,16,621
"550,761,316",58,1,27
"556,651,098",6230,22,-2196
"520,932,261",29687,28,826
"551,997,495",27007,17,5753
"529,503,716",104,3,30
"554,567,086",763,3,397
"575,739,107",34010,6,-2809
"552,371,119",60928,25,5088
"566,910,324",11794,5,-930
"534,027,197",604,10,160
"529,292,477",251,12,93
"577,865,438",16844,21,869
"576,241,302",9939,22,-569
"574,523,524",40373,25,3585
"566,056,952",2499,8,356
"560,975,005",829,2,82
"554,241,995",8259,1,1754
"557,188,881",433,4,135
"561,054,158",11708,7,1384
"556,866,785",644,4,142
"563,165,182",27,3,15
"575,379,053",1047,6,111
"21,002,316",599,2,135
"551,438,941",1026,1,135
"559,759,014",19971,9,2024
"554,492,148",18,1,13
"553,862,559",404,5,94
